"year","category","birthyear","gender","name"
"2007","physics","1939","M","Peter Grünberg"
"1989","chemistry","1939","M","Sidney Altman"
"1989","medicine","1939","M","Harold Varmus"
"1987","medicine","1939","M","Susumu Tonegawa"
"1987","chemistry","1939","M","Jean-Marie Lehn"
"2001","medicine","1939","M","Leland Hartwell"
"1995","literature","1939","M","Seamus Heaney"
"2009","chemistry","1939","F","Ada Yonath"
"2010","economics","1939","M","Dale Mortensen"
"1998","physics","1939","M","Daniel Tsui"
"2009","chemistry","1940","M","Thomas Steitz"
"2000","literature","1940","M","Gao Xingjian"
"2001","economics","1940","M","George Akerlof"
"1996","medicine","1940","M","Peter Doherty"
"2010","economics","1940","M","Peter Diamond"
"2008","physics","1940","M","Toshihide Maskawa"
"2004","economics","1940","M","Edward Prescott"
"1985","medicine","1940","M","Joseph Goldstein"
"2013","chemistry","1940","M","Arieh Warshel"
"2006","peace","1940","M","Muhammad Yunus"
"1973","physics","1940","M","Brian Josephson"
"2004","peace","1940","F","Wangari Maathai"
"1987","literature","1940","M","Joseph Brodsky"
"2005","physics","1941","M","Theodor Hänsch"
"1998","medicine","1941","M","Louis Ignarro"
"1985","medicine","1941","M","Michael Brown"
"1997","chemistry","1941","M","John Walker"
"2011","medicine","1941","M","Jules Hoffmann"
"1994","medicine","1941","M","Alfred Gilman"
"2004","physics","1941","M","David Gross"
"1997","economics","1941","M","Myron Scholes"
"2011","chemistry","1941","M","Dan Shechtman"
"1997","medicine","1942","M","Stanley Prusiner"
"2005","chemistry","1942","M","Robert Grubbs"
"2005","peace","1942","M","Mohamed ElBaradei"
"1991","medicine","1942","M","Bert Sakmann"
"1995","medicine","1942","F","Christiane Nüsslein-Volhard"
"2011","economics","1942","M","Christopher Sims"
"2002","medicine","1942","M","John Sulston"
"2011","economics","1943","M","Thomas Sargent"
"2001","medicine","1943","M","Tim Hunt"
"1995","chemistry","1943","M","Mario Molina"
"1988","chemistry","1943","M","Johann Deisenhofer"
"2001","economics","1943","M","Joseph Stiglitz"
"2011","medicine","1943","M","Ralph Steinman"
"1993","medicine","1943","M","Richard Roberts"
"1996","chemistry","1943","M","Richard Smalley"
"2012","chemistry","1943","M","Robert Lefkowitz"
"2004","economics","1943","M","Finn Kydland"
"1991","medicine","1944","M","Erwin Neher"
"1996","medicine","1944","M","Rolf Zinkernagel"
"2012","physics","1944","M","Serge Haroche"
"2000","economics","1944","M","James Heckman"
"1993","medicine","1944","M","Phillip Sharp"
"1997","economics","1944","M","Robert Merton"
"2012","physics","1944","M","David Wineland"
"1998","peace","1944","M","David Trimble"
